train_loss,train_acc,epoch,step,val_loss,val_acc
1.549947738647461,0.4296875,0,49,,
1.4014874696731567,0.4375,0,99,,
1.361284613609314,0.51953125,0,149,,
,,0,195,1.3682292699813843,0.5289999842643738
1.2321081161499023,0.52734375,1,199,,
1.1400548219680786,0.62109375,1,249,,
0.9151750802993774,0.67578125,1,299,,
0.9552041292190552,0.66796875,1,349,,
,,1,391,0.9801936745643616,0.6557000279426575
0.8043386340141296,0.70703125,2,399,,
0.8008925914764404,0.73046875,2,449,,
0.9334343075752258,0.65625,2,499,,
0.7636622786521912,0.70703125,2,549,,
,,2,587,0.7317927479743958,0.7502999901771545
0.5780135989189148,0.8046875,3,599,,
0.6727792620658875,0.76953125,3,649,,
0.5854383707046509,0.79296875,3,699,,
0.6795259118080139,0.78125,3,749,,
,,3,783,0.6330142617225647,0.7813000082969666
0.3507716953754425,0.90234375,4,799,,
0.5183499455451965,0.8046875,4,849,,
0.6077904105186462,0.80078125,4,899,,
0.5288439989089966,0.80859375,4,949,,
,,4,979,0.5747687220573425,0.8112999796867371
0.46090254187583923,0.87890625,5,999,,
0.4073537290096283,0.85546875,5,1049,,
0.4056728184223175,0.86328125,5,1099,,
0.41334909200668335,0.86328125,5,1149,,
,,5,1175,0.5080816149711609,0.8295000195503235
0.4152199625968933,0.859375,6,1199,,
0.4580438435077667,0.83203125,6,1249,,
0.32958143949508667,0.87890625,6,1299,,
0.41592150926589966,0.86328125,6,1349,,
,,6,1371,0.4872540533542633,0.8425999879837036
0.25030800700187683,0.90625,7,1399,,
0.25533005595207214,0.91796875,7,1449,,
0.32867947220802307,0.87109375,7,1499,,
0.36615997552871704,0.8671875,7,1549,,
,,7,1567,0.5343039035797119,0.8309999704360962
0.29942065477371216,0.89453125,8,1599,,
0.27655357122421265,0.8984375,8,1649,,
0.1700880229473114,0.953125,8,1699,,
0.3515264093875885,0.8828125,8,1749,,
,,8,1763,0.4702773988246918,0.8472999930381775
0.23186686635017395,0.9140625,9,1799,,
0.2549390196800232,0.91015625,9,1849,,
0.3018213212490082,0.90625,9,1899,,
0.3094852566719055,0.90625,9,1949,,
,,9,1959,0.4540972113609314,0.8600000143051147
0.2105575054883957,0.9296875,10,1999,,
0.23111528158187866,0.921875,10,2049,,
0.2509705126285553,0.91015625,10,2099,,
0.3230386972427368,0.90234375,10,2149,,
,,10,2155,0.4670933485031128,0.8565999865531921
0.18248553574085236,0.921875,11,2199,,
0.20455867052078247,0.921875,11,2249,,
0.1393193006515503,0.94140625,11,2299,,
0.20759882032871246,0.921875,11,2349,,
,,11,2351,0.47339415550231934,0.8568000197410583
0.1596020609140396,0.94140625,12,2399,,
0.20149648189544678,0.9296875,12,2449,,
0.3218161165714264,0.87890625,12,2499,,
,,12,2547,0.5850053429603577,0.840399980545044
0.20726238191127777,0.93359375,13,2549,,
0.2381468117237091,0.921875,13,2599,,
0.2438867688179016,0.93359375,13,2649,,
0.20197156071662903,0.92578125,13,2699,,
,,13,2743,0.5534504652023315,0.849399983882904
0.21410426497459412,0.93359375,14,2749,,
0.15181246399879456,0.9453125,14,2799,,
0.10803090035915375,0.9609375,14,2849,,
0.1500096321105957,0.9453125,14,2899,,
,,14,2939,0.5251481533050537,0.8626000285148621
0.11938105523586273,0.94921875,15,2949,,
0.08049947768449783,0.96484375,15,2999,,
0.19240868091583252,0.9375,15,3049,,
0.22823144495487213,0.92578125,15,3099,,
,,15,3135,0.500019907951355,0.8695999979972839
0.15403009951114655,0.9453125,16,3149,,
0.1001008152961731,0.96484375,16,3199,,
0.23018847405910492,0.9375,16,3249,,
0.20644278824329376,0.9453125,16,3299,,
,,16,3331,0.5099839568138123,0.8686000108718872
0.16713371872901917,0.94921875,17,3349,,
0.17581836879253387,0.95703125,17,3399,,
0.15577879548072815,0.9453125,17,3449,,
0.13470514118671417,0.953125,17,3499,,
,,17,3527,0.491835355758667,0.8718000054359436
0.10803193598985672,0.953125,18,3549,,
0.07652942091226578,0.96875,18,3599,,
0.1320078819990158,0.96875,18,3649,,
0.09807909280061722,0.96484375,18,3699,,
,,18,3723,0.49490371346473694,0.8715999722480774
0.06941545009613037,0.98046875,19,3749,,
0.0899914801120758,0.96875,19,3799,,
0.09107523411512375,0.9609375,19,3849,,
0.13492226600646973,0.95703125,19,3899,,
,,19,3919,0.5229918360710144,0.8700000047683716
